zip,district,share
30165,AL-3,0.0097
35004,AL-3,1.0000
35005,AL-7,1.0000
35006,AL-4,0.0234
35006,AL-7,0.9766
35007,AL-6,1.0000
35010,AL-3,0.7730
35010,AL-6,0.2270
35013,AL-4,1.0000
35014,AL-3,1.0000
35016,AL-4,0.9545
35016,AL-5,0.0455
35019,AL-4,0.6318
35019,AL-5,0.3682
35020,AL-7,1.0000
35022,AL-6,0.0630
35022,AL-7,0.9370
35023,AL-7,1.0000
35031,AL-4,1.0000
35032,AL-3,1.0000
35033,AL-4,1.0000
35034,AL-6,0.8830
35034,AL-7,0.1170
35035,AL-6,1.0000
35036,AL-7,1.0000
35040,AL-6,1.0000
35042,AL-6,0.8293
35042,AL-7,0.1707
35043,AL-6,1.0000
35044,AL-3,0.9970
35044,AL-6,0.0030
35045,AL-6,1.0000
35046,AL-6,1.0000
35049,AL-4,1.0000
35051,AL-6,1.0000
35052,AL-3,1.0000
35053,AL-4,1.0000
35054,AL-3,1.0000
35055,AL-4,1.0000
35057,AL-4,1.0000
35058,AL-4,1.0000
35060,AL-7,1.0000
35061,AL-7,1.0000
35062,AL-4,0.3494
35062,AL-6,0.5098
35062,AL-7,0.1408
35063,AL-4,0.9682
35063,AL-6,0.0318
35064,AL-7,1.0000
35068,AL-6,0.0046
35068,AL-7,0.9954
35070,AL-4,1.0000
35071,AL-6,0.9936
35071,AL-7,0.0064
35072,AL-3,0.5338
35072,AL-6,0.4662
35073,AL-6,0.0659
35073,AL-7,0.9341
35074,AL-6,1.0000
35077,AL-4,1.0000
35078,AL-6,1.0000
35079,AL-4,0.9992
35079,AL-6,0.0008
35080,AL-6,0.9950
35080,AL-7,0.0050
35082,AL-3,1.0000
35083,AL-4,1.0000
35085,AL-6,1.0000
35087,AL-4,0.6150
35087,AL-5,0.3850
35089,AL-3,0.1816
35089,AL-6,0.8184
35091,AL-6,1.0000
35094,AL-3,0.1515
35094,AL-6,0.8485
35096,AL-3,1.0000
35097,AL-4,1.0000
35098,AL-4,1.0000
35111,AL-6,0.0279
35111,AL-7,0.9721
35112,AL-3,1.0000
35114,AL-6,1.0000
35115,AL-6,1.0000
35116,AL-6,1.0000
35117,AL-6,0.7388
35117,AL-7,0.2612
35118,AL-7,1.0000
35119,AL-6,1.0000
35120,AL-3,1.0000
35121,AL-3,0.0289
35121,AL-4,0.9711
35124,AL-6,1.0000
35125,AL-3,1.0000
35126,AL-4,0.0344
35126,AL-6,0.9656
35127,AL-7,1.0000
35128,AL-3,0.9812
35128,AL-6,0.0188
35130,AL-4,0.5605
35130,AL-7,0.4395
35131,AL-3,1.0000
35133,AL-3,0.0779
35133,AL-4,0.9221
35135,AL-3,1.0000
35136,AL-6,1.0000
35143,AL-6,1.0000
35146,AL-3,0.8166
35146,AL-4,0.1571
35146,AL-6,0.0264
35147,AL-6,1.0000
35148,AL-4,0.9802
35148,AL-6,0.0198
35149,AL-3,1.0000
35150,AL-3,0.9769
35150,AL-6,0.0231
35151,AL-3,0.2640
35151,AL-6,0.7360
35160,AL-3,1.0000
35171,AL-6,1.0000
35172,AL-4,0.8115
35172,AL-6,0.1885
35173,AL-3,0.2389
35173,AL-6,0.7611
35175,AL-4,0.8221
35175,AL-5,0.1779
35176,AL-6,1.0000
35178,AL-3,0.2120
35178,AL-6,0.7880
35179,AL-4,0.9558
35179,AL-5,0.0442
35180,AL-4,0.3636
35180,AL-6,0.6364
35181,AL-7,1.0000
35183,AL-6,1.0000
35184,AL-6,0.9975
35184,AL-7,0.0025
35185,AL-6,1.0000
35186,AL-6,1.0000
35188,AL-6,0.7349
35188,AL-7,0.2651
35203,AL-7,1.0000
35204,AL-7,1.0000
35205,AL-7,1.0000
35206,AL-7,1.0000
35207,AL-7,1.0000
35208,AL-7,1.0000
35209,AL-6,0.3313
35209,AL-7,0.6687
35210,AL-6,0.8612
35210,AL-7,0.1388
35211,AL-7,1.0000
35212,AL-7,1.0000
35213,AL-6,0.6870
35213,AL-7,0.3130
35214,AL-7,1.0000
35215,AL-6,0.5769
35215,AL-7,0.4231
35216,AL-6,1.0000
35217,AL-6,0.0913
35217,AL-7,0.9087
35218,AL-7,1.0000
35221,AL-7,1.0000
35222,AL-7,1.0000
35223,AL-6,0.9855
35223,AL-7,0.0145
35224,AL-7,1.0000
35226,AL-6,0.3127
35226,AL-7,0.6873
35228,AL-7,1.0000
35229,AL-6,1.0000
35233,AL-7,1.0000
35234,AL-7,1.0000
35235,AL-6,0.6911
35235,AL-7,0.3089
35242,AL-6,1.0000
35243,AL-6,1.0000
35244,AL-6,0.6476
35244,AL-7,0.3524
35249,AL-7,1.0000
35254,AL-7,1.0000
35401,AL-4,0.6621
35401,AL-7,0.3379
35404,AL-4,0.3993
35404,AL-7,0.6007
35405,AL-4,0.2750
35405,AL-7,0.7250
35406,AL-4,1.0000
35441,AL-7,1.0000
35442,AL-7,1.0000
35443,AL-7,1.0000
35444,AL-7,1.0000
35446,AL-4,1.0000
35447,AL-7,1.0000
35452,AL-4,1.0000
35453,AL-7,1.0000
35456,AL-7,1.0000
35457,AL-4,1.0000
35458,AL-4,1.0000
35459,AL-7,1.0000
35460,AL-7,1.0000
35461,AL-7,1.0000
35462,AL-7,1.0000
35463,AL-4,0.8359
35463,AL-7,0.1641
35464,AL-7,1.0000
35466,AL-4,0.1388
35466,AL-7,0.8612
35469,AL-4,0.2048
35469,AL-7,0.7952
35470,AL-7,1.0000
35473,AL-4,1.0000
35474,AL-7,1.0000
35475,AL-4,1.0000
35476,AL-4,1.0000
35477,AL-7,1.0000
35480,AL-4,0.7279
35480,AL-7,0.2721
35481,AL-7,1.0000
35487,AL-7,1.0000
35490,AL-7,1.0000
35491,AL-7,1.0000
35501,AL-4,1.0000
35503,AL-4,1.0000
35504,AL-4,1.0000
35540,AL-4,1.0000
35541,AL-4,1.0000
35542,AL-4,1.0000
35543,AL-4,1.0000
35544,AL-4,1.0000
35545,AL-4,1.0000
35546,AL-4,1.0000
35548,AL-4,1.0000
35549,AL-4,1.0000
35550,AL-4,1.0000
35552,AL-4,1.0000
35553,AL-4,1.0000
35554,AL-4,1.0000
35555,AL-4,0.9890
35555,AL-7,0.0110
35559,AL-4,1.0000
35563,AL-4,1.0000
35564,AL-4,1.0000
35565,AL-4,0.8241
35565,AL-5,0.1759
35570,AL-4,1.0000
35571,AL-4,1.0000
35572,AL-4,1.0000
35573,AL-4,1.0000
35574,AL-4,0.6590
35574,AL-7,0.3410
35575,AL-4,1.0000
35576,AL-4,0.8039
35576,AL-7,0.1961
35577,AL-4,1.0000
35578,AL-4,1.0000
35579,AL-4,1.0000
35580,AL-4,1.0000
35581,AL-4,1.0000
35582,AL-4,1.0000
35584,AL-4,1.0000
35585,AL-4,1.0000
35586,AL-4,1.0000
35587,AL-4,1.0000
35592,AL-4,1.0000
35593,AL-4,1.0000
35594,AL-4,1.0000
35601,AL-5,1.0000
35603,AL-5,1.0000
35610,AL-5,1.0000
35611,AL-5,1.0000
35613,AL-5,1.0000
35614,AL-5,1.0000
35615,AL-5,1.0000
35616,AL-4,1.0000
35618,AL-5,1.0000
35619,AL-4,0.0016
35619,AL-5,0.9984
35620,AL-5,1.0000
35621,AL-4,0.0332
35621,AL-5,0.9668
35622,AL-4,0.1539
35622,AL-5,0.8461
35630,AL-4,1.0000
35632,AL-4,1.0000
35633,AL-4,1.0000
35634,AL-4,1.0000
35640,AL-5,1.0000
35643,AL-5,1.0000
35645,AL-4,0.6908
35645,AL-5,0.3092
35646,AL-4,1.0000
35647,AL-5,1.0000
35648,AL-4,0.1856
35648,AL-5,0.8144
35649,AL-5,1.0000
35650,AL-5,1.0000
35651,AL-5,1.0000
35652,AL-5,1.0000
35653,AL-4,1.0000
35654,AL-4,0.9208
35654,AL-5,0.0792
35660,AL-4,1.0000
35661,AL-4,1.0000
35670,AL-5,1.0000
35671,AL-5,1.0000
35672,AL-4,0.0549
35672,AL-5,0.9451
35673,AL-5,1.0000
35674,AL-4,1.0000
35677,AL-4,1.0000
35739,AL-5,1.0000
35740,AL-5,1.0000
35741,AL-5,1.0000
35744,AL-5,1.0000
35745,AL-5,1.0000
35746,AL-5,1.0000
35747,AL-4,1.0000
35748,AL-5,1.0000
35749,AL-5,1.0000
35750,AL-5,1.0000
35751,AL-5,1.0000
35752,AL-5,1.0000
35754,AL-4,0.0353
35754,AL-5,0.9647
35755,AL-4,0.7197
35755,AL-5,0.2803
35756,AL-5,1.0000
35757,AL-5,1.0000
35758,AL-5,1.0000
35759,AL-5,1.0000
35760,AL-4,0.0705
35760,AL-5,0.9295
35761,AL-5,1.0000
35763,AL-5,1.0000
35764,AL-5,1.0000
35765,AL-4,0.0556
35765,AL-5,0.9444
35766,AL-5,1.0000
35768,AL-5,1.0000
35769,AL-4,0.2740
35769,AL-5,0.7260
35771,AL-4,0.0373
35771,AL-5,0.9627
35772,AL-5,1.0000
35773,AL-5,1.0000
35774,AL-5,1.0000
35775,AL-5,1.0000
35776,AL-4,0.1873
35776,AL-5,0.8127
35801,AL-5,1.0000
35802,AL-5,1.0000
35803,AL-5,1.0000
35805,AL-5,1.0000
35806,AL-5,1.0000
35808,AL-5,1.0000
35810,AL-5,1.0000
35811,AL-5,1.0000
35816,AL-5,1.0000
35824,AL-5,1.0000
35896,AL-5,1.0000
35901,AL-3,1.0000
35903,AL-3,1.0000
35904,AL-3,1.0000
35905,AL-3,1.0000
35906,AL-3,1.0000
35907,AL-3,1.0000
35950,AL-4,1.0000
35951,AL-4,1.0000
35952,AL-3,0.5504
35952,AL-4,0.4496
35953,AL-3,1.0000
35954,AL-3,0.9474
35954,AL-4,0.0526
35956,AL-3,0.9980
35956,AL-4,0.0020
35957,AL-4,1.0000
35958,AL-5,1.0000
35959,AL-3,0.9934
35959,AL-4,0.0066
35960,AL-3,1.0000
35961,AL-3,0.1861
35961,AL-4,0.8139
35962,AL-4,1.0000
35963,AL-4,1.0000
35966,AL-4,0.2447
35966,AL-5,0.7553
35967,AL-3,0.0770
35967,AL-4,0.9230
35968,AL-4,1.0000
35971,AL-4,0.9966
35971,AL-5,0.0034
35972,AL-3,1.0000
35973,AL-3,1.0000
35974,AL-4,1.0000
35975,AL-4,1.0000
35976,AL-4,1.0000
35978,AL-4,0.7746
35978,AL-5,0.2254
35979,AL-4,0.6418
35979,AL-5,0.3582
35980,AL-4,1.0000
35981,AL-4,1.0000
35983,AL-3,0.9954
35983,AL-4,0.0046
35984,AL-3,0.2989
35984,AL-4,0.7011
35986,AL-4,1.0000
35987,AL-3,1.0000
35988,AL-4,1.0000
35989,AL-4,1.0000
35990,AL-3,1.0000
36003,AL-6,1.0000
36005,AL-2,1.0000
36006,AL-6,1.0000
36008,AL-6,1.0000
36009,AL-1,0.0118
36009,AL-2,0.9882
36010,AL-1,0.1904
36010,AL-2,0.8096
36013,AL-2,1.0000
36016,AL-1,0.0136
36016,AL-2,0.9864
36017,AL-2,1.0000
36020,AL-6,1.0000
36022,AL-6,1.0000
36024,AL-6,1.0000
36025,AL-6,1.0000
36026,AL-6,1.0000
36027,AL-1,0.0288
36027,AL-2,0.9712
36028,AL-1,0.5974
36028,AL-2,0.4026
36029,AL-2,1.0000
36030,AL-2,1.0000
36031,AL-2,1.0000
36032,AL-2,0.1435
36032,AL-7,0.8565
36033,AL-2,1.0000
36034,AL-1,0.3214
36034,AL-2,0.6786
36035,AL-2,1.0000
36036,AL-2,1.0000
36037,AL-2,1.0000
36038,AL-1,1.0000
36039,AL-2,1.0000
36040,AL-7,1.0000
36041,AL-2,1.0000
36042,AL-2,1.0000
36043,AL-2,0.4404
36043,AL-7,0.5596
36046,AL-2,1.0000
36047,AL-2,0.0994
36047,AL-7,0.9006
36048,AL-2,1.0000
36049,AL-2,1.0000
36051,AL-6,1.0000
36052,AL-2,1.0000
36053,AL-2,1.0000
36054,AL-2,0.1200
36054,AL-6,0.8800
36057,AL-2,1.0000
36064,AL-2,1.0000
36066,AL-6,1.0000
36067,AL-6,1.0000
36069,AL-2,1.0000
36071,AL-2,1.0000
36075,AL-2,1.0000
36078,AL-2,0.0272
36078,AL-3,0.2427
36078,AL-6,0.7301
36079,AL-1,0.0710
36079,AL-2,0.9290
36080,AL-6,1.0000
36081,AL-2,1.0000
36082,AL-2,1.0000
36083,AL-2,1.0000
36088,AL-2,1.0000
36089,AL-2,1.0000
36091,AL-6,1.0000
36092,AL-6,1.0000
36093,AL-6,1.0000
36101,AL-2,1.0000
36104,AL-2,1.0000
36105,AL-2,1.0000
36106,AL-2,1.0000
36107,AL-2,1.0000
36108,AL-2,1.0000
36109,AL-2,1.0000
36110,AL-2,1.0000
36111,AL-2,1.0000
36112,AL-2,1.0000
36113,AL-2,1.0000
36114,AL-2,1.0000
36115,AL-2,1.0000
36116,AL-2,1.0000
36117,AL-2,1.0000
36130,AL-2,1.0000
36201,AL-3,1.0000
36203,AL-3,1.0000
36205,AL-3,1.0000
36206,AL-3,1.0000
36207,AL-3,1.0000
36250,AL-3,1.0000
36251,AL-3,1.0000
36255,AL-3,1.0000
36256,AL-3,1.0000
36258,AL-3,1.0000
36260,AL-3,1.0000
36262,AL-3,1.0000
36263,AL-3,1.0000
36264,AL-3,1.0000
36265,AL-3,1.0000
36266,AL-3,1.0000
36267,AL-3,1.0000
36268,AL-3,1.0000
36269,AL-3,1.0000
36271,AL-3,1.0000
36272,AL-3,1.0000
36273,AL-3,1.0000
36274,AL-3,1.0000
36276,AL-3,1.0000
36277,AL-3,1.0000
36278,AL-3,1.0000
36279,AL-3,1.0000
36280,AL-3,1.0000
36301,AL-1,1.0000
36303,AL-1,1.0000
36305,AL-1,1.0000
36310,AL-1,1.0000
36311,AL-1,0.6444
36311,AL-2,0.3556
36312,AL-1,1.0000
36313,AL-1,1.0000
36314,AL-1,1.0000
36316,AL-1,1.0000
36317,AL-1,0.9227
36317,AL-2,0.0773
36318,AL-1,1.0000
36319,AL-1,1.0000
36320,AL-1,1.0000
36321,AL-1,1.0000
36322,AL-1,1.0000
36323,AL-1,1.0000
36330,AL-1,1.0000
36340,AL-1,1.0000
36343,AL-1,1.0000
36344,AL-1,1.0000
36345,AL-1,1.0000
36346,AL-1,1.0000
36350,AL-1,1.0000
36351,AL-1,1.0000
36352,AL-1,1.0000
36353,AL-1,1.0000
36360,AL-1,1.0000
36362,AL-1,1.0000
36370,AL-1,1.0000
36371,AL-1,1.0000
36373,AL-1,1.0000
36374,AL-1,0.8865
36374,AL-2,0.1135
36375,AL-1,1.0000
36376,AL-1,1.0000
36401,AL-1,0.0080
36401,AL-2,0.9920
36420,AL-1,1.0000
36421,AL-1,0.8380
36421,AL-2,0.1620
36425,AL-2,1.0000
36426,AL-1,0.9625
36426,AL-2,0.0375
36432,AL-1,0.2509
36432,AL-2,0.7491
36435,AL-7,1.0000
36436,AL-7,1.0000
36439,AL-2,1.0000
36441,AL-1,1.0000
36442,AL-1,1.0000
36444,AL-2,1.0000
36445,AL-2,1.0000
36446,AL-7,1.0000
36451,AL-2,0.1040
36451,AL-7,0.8960
36453,AL-1,1.0000
36454,AL-2,1.0000
36455,AL-1,1.0000
36456,AL-1,0.0618
36456,AL-2,0.9382
36460,AL-2,1.0000
36467,AL-1,1.0000
36470,AL-2,1.0000
36471,AL-2,1.0000
36473,AL-2,1.0000
36474,AL-1,0.7411
36474,AL-2,0.2589
36475,AL-2,1.0000
36476,AL-1,1.0000
36477,AL-1,1.0000
36480,AL-2,1.0000
36481,AL-2,1.0000
36482,AL-2,0.6646
36482,AL-7,0.3354
36483,AL-1,1.0000
36502,AL-1,0.8938
36502,AL-2,0.1062
36503,AL-1,1.0000
36505,AL-1,1.0000
36507,AL-1,1.0000
36509,AL-1,1.0000
36511,AL-1,1.0000
36512,AL-1,1.0000
36513,AL-1,0.4579
36513,AL-2,0.5421
36518,AL-2,1.0000
36521,AL-1,0.4393
36521,AL-2,0.5607
36522,AL-1,0.0842
36522,AL-2,0.9158
36523,AL-1,1.0000
36524,AL-7,1.0000
36525,AL-1,1.0000
36526,AL-1,1.0000
36527,AL-1,1.0000
36528,AL-1,1.0000
36529,AL-2,1.0000
36530,AL-1,1.0000
36532,AL-1,1.0000
36535,AL-1,1.0000
36538,AL-2,1.0000
36539,AL-2,1.0000
36540,AL-2,1.0000
36541,AL-1,1.0000
36542,AL-1,1.0000
36543,AL-1,1.0000
36544,AL-1,1.0000
36545,AL-2,0.6126
36545,AL-7,0.3874
36547,AL-1,1.0000
36548,AL-2,1.0000
36549,AL-1,1.0000
36550,AL-1,1.0000
36551,AL-1,1.0000
36553,AL-2,1.0000
36555,AL-1,1.0000
36556,AL-2,1.0000
36558,AL-2,0.8945
36558,AL-7,0.1055
36559,AL-1,1.0000
36560,AL-1,1.0000
36561,AL-1,1.0000
36562,AL-1,1.0000
36564,AL-1,1.0000
36567,AL-1,1.0000
36568,AL-1,1.0000
36569,AL-2,1.0000
36571,AL-1,1.0000
36571,AL-2,0.0000
36572,AL-1,1.0000
36574,AL-1,1.0000
36575,AL-1,0.1898
36575,AL-2,0.8102
36576,AL-1,1.0000
36578,AL-1,1.0000
36579,AL-1,1.0000
36580,AL-1,1.0000
36581,AL-2,1.0000
36582,AL-1,0.9924
36582,AL-2,0.0076
36583,AL-2,1.0000
36584,AL-2,1.0000
36585,AL-2,1.0000
36587,AL-1,0.1723
36587,AL-2,0.8277
36602,AL-1,0.3260
36602,AL-2,0.6740
36603,AL-1,0.3316
36603,AL-2,0.6684
36604,AL-2,1.0000
36605,AL-1,0.7468
36605,AL-2,0.2532
36606,AL-2,1.0000
36607,AL-2,1.0000
36608,AL-1,0.7504
36608,AL-2,0.2496
36609,AL-2,1.0000
36610,AL-2,1.0000
36611,AL-2,1.0000
36612,AL-2,1.0000
36613,AL-1,0.2614
36613,AL-2,0.7386
36615,AL-1,1.0000
36617,AL-2,1.0000
36618,AL-2,1.0000
36619,AL-1,0.7545
36619,AL-2,0.2455
36652,AL-2,1.0000
36663,AL-2,1.0000
36688,AL-2,1.0000
36693,AL-1,0.1486
36693,AL-2,0.8514
36695,AL-1,0.7995
36695,AL-2,0.2005
36701,AL-7,1.0000
36703,AL-6,0.2546
36703,AL-7,0.7454
36720,AL-7,1.0000
36722,AL-7,1.0000
36723,AL-7,1.0000
36726,AL-2,0.0013
36726,AL-7,0.9987
36727,AL-7,1.0000
36728,AL-7,1.0000
36732,AL-7,1.0000
36736,AL-7,1.0000
36738,AL-7,1.0000
36740,AL-7,1.0000
36741,AL-7,1.0000
36742,AL-7,1.0000
36744,AL-7,1.0000
36748,AL-7,1.0000
36749,AL-6,0.8353
36749,AL-7,0.1647
36750,AL-6,1.0000
36751,AL-2,0.4078
36751,AL-7,0.5922
36752,AL-7,1.0000
36753,AL-7,1.0000
36754,AL-7,1.0000
36756,AL-7,1.0000
36758,AL-6,0.6878
36758,AL-7,0.3122
36759,AL-7,1.0000
36761,AL-7,1.0000
36763,AL-7,1.0000
36764,AL-7,1.0000
36765,AL-7,1.0000
36766,AL-7,1.0000
36767,AL-7,1.0000
36768,AL-2,0.2663
36768,AL-7,0.7337
36769,AL-7,1.0000
36773,AL-7,1.0000
36775,AL-7,1.0000
36776,AL-7,1.0000
36782,AL-7,1.0000
36783,AL-7,1.0000
36784,AL-7,1.0000
36785,AL-7,1.0000
36786,AL-7,1.0000
36790,AL-6,1.0000
36792,AL-6,1.0000
36793,AL-6,0.7683
36793,AL-7,0.2317
36801,AL-3,1.0000
36804,AL-2,0.2206
36804,AL-3,0.7794
36830,AL-2,0.4437
36830,AL-3,0.5563
36832,AL-2,0.0307
36832,AL-3,0.9693
36849,AL-3,1.0000
36850,AL-3,1.0000
36851,AL-2,1.0000
36852,AL-3,1.0000
36853,AL-3,1.0000
36854,AL-3,1.0000
36855,AL-3,0.9890
36856,AL-2,1.0000
36858,AL-2,1.0000
36860,AL-2,1.0000
36861,AL-3,1.0000
36862,AL-3,1.0000
36863,AL-3,1.0000
36865,AL-3,1.0000
36866,AL-2,0.6863
36866,AL-3,0.3137
36867,AL-2,0.6632
36867,AL-3,0.3368
36869,AL-2,1.0000
36870,AL-2,0.3591
36870,AL-3,0.6409
36871,AL-2,1.0000
36874,AL-2,0.0529
36874,AL-3,0.9471
36875,AL-2,1.0000
36877,AL-2,0.0011
36877,AL-3,0.9989
36879,AL-3,1.0000
36901,AL-7,1.0000
36904,AL-7,1.0000
36907,AL-7,1.0000
36908,AL-7,1.0000
36910,AL-7,1.0000
36912,AL-7,1.0000
36913,AL-7,1.0000
36915,AL-7,1.0000
36916,AL-7,1.0000
36919,AL-2,0.0003
36919,AL-7,0.9997
36921,AL-7,1.0000
36922,AL-7,1.0000
36925,AL-7,1.0000
38852,AL-4,0.0031
